Record number,Origin of data,Subject number,Ethnicity,Gender,Age group,Body location,L,a,b
96,1,11,CA,F,,1,64.0123,7.0089,10.8407
97,1,11,CA,F,,11,59.8088,7.0386,9.6612
98,1,11,CA,F,,10,64.7852,7.6190,13.5094
99,1,11,CA,F,,7,68.8168,3.3257,9.1310
100,1,12,CA,M,,6,60.8458,12.0644,16.7556
101,1,12,CA,M,,9,56.8261,12.2435,14.5419
102,1,12,CA,M,,2,59.3644,10.2889,15.7010
103,1,12,CA,M,,5,37.9407,9.8576,13.1273
104,1,12,CA,M,,4,29.9396,3.6644,6.0603
105,1,12,CA,M,,1,58.1912,9.6522,18.0604
106,1,12,CA,M,,11,62.7324,5.8565,14.8729
107,1,12,CA,M,,10,53.0467,8.6334,19.3553
108,1,12,CA,M,,7,57.6546,8.0572,19.9877
109,1,13,CA,F,,6,62.8463,7.7915,15.2613
110,1,13,CA,F,,9,63.8447,9.3957,15.0216
111,1,13,CA,F,,2,66.0742,7.2103,13.8470
112,1,13,CA,F,,5,62.9807,7.0952,13.2415
113,1,13,CA,F,,4,58.1839,14.0951,14.8191
114,1,13,CA,F,,1,61.3725,6.1971,13.4618
115,1,13,CA,F,,11,59.5314,10.9772,15.0231
116,1,13,CA,F,,10,59.8438,6.1045,17.3339
117,1,13,CA,F,,7,63.6588,5.1095,12.4407
118,1,14,CA,F,,6,62.2261,10.3957,15.5532
119,1,14,CA,F,,9,59.3255,15.1494,16.6635
120,1,14,CA,F,,2,62.4722,13.7789,14.5068
121,1,14,CA,F,,5,56.6360,14.1471,16.0197
122,1,14,CA,F,,4,60.9765,12.5548,13.9900
123,1,14,CA,F,,1,59.0392,7.7949,14.9414
124,1,14,CA,F,,11,57.1353,6.6049,9.7447
125,1,14,CA,F,,10,58.1623,6.6550,18.9992
126,1,14,CA,F,,7,62.9558,4.2150,13.6984
127,1,15,CA,F,,6,62.7712,9.2628,15.5194
128,1,15,CA,F,,9,62.8688,9.7125,13.7391
129,1,15,CA,F,,2,65.8072,7.4544,13.7931
130,1,15,CA,F,,5,62.8532,11.0316,13.6392
131,1,15,CA,F,,4,64.5813,8.7111,15.3077
132,1,15,CA,F,,1,60.7030,6.9129,13.8575
133,1,15,CA,F,,11,63.0285,6.5591,12.3710
134,1,15,CA,F,,10,63.8695,6.2322,13.7498
135,1,15,CA,F,,7,61.0010,3.9082,9.2207
136,1,16,CA,F,,6,52.4645,11.2336,19.4933
137,1,16,CA,F,,9,55.2567,12.5175,18.0816
138,1,16,CA,F,,2,56.5116,10.3812,18.4439
139,1,16,CA,F,,5,57.6241,11.2679,17.7699
140,1,16,CA,F,,4,52.6968,11.6135,19.6034
141,1,16,CA,F,,1,54.6441,7.6191,19.0095
142,1,16,CA,F,,11,55.6336,8.7927,14.3675
143,1,16,CA,F,,10,58.4896,6.3367,18.2856
144,1,16,CA,F,,7,59.1220,6.5072,17.2933
145,1,17,CA,F,,6,62.0905,13.1434,14.6695
146,1,17,CA,F,,9,63.2783,12.3575,17.3832
147,1,17,CA,F,,2,62.1601,15.0336,14.1598
148,1,17,CA,F,,5,56.0653,10.3061,12.1352
149,1,17,CA,F,,4,59.9052,13.3480,12.7640
