Record number,Origin of data,Subject number,Ethnicity,Gender,Age group,Body location,L,a,b
1727,2,198,CN,M,2,9,55.9097,11.4294,17.9231
1728,2,198,CN,M,2,2,57.0935,11.8251,15.6227
1729,2,198,CN,M,2,5,57.6065,12.1832,15.7705
1730,2,198,CN,M,2,4,49.8201,10.6716,14.6776
1731,2,198,CN,M,2,1,57.1276,7.3737,17.7476
1732,2,198,CN,M,2,11,60.2285,9.5174,15.0291
1733,2,198,CN,M,2,10,54.1673,11.4518,17.6759
1734,2,198,CN,M,2,7,55.2174,9.4685,18.2871
1735,2,199,CN,M,2,6,53.7469,10.6582,18.1473
1736,2,199,CN,M,2,9,53.2140,11.6852,16.8662
1737,2,199,CN,M,2,2,53.9769,12.8454,15.7281
1738,2,199,CN,M,2,5,53.3059,11.9573,14.1454
1739,2,199,CN,M,2,4,49.5775,9.8960,13.0985
1740,2,199,CN,M,2,1,54.4205,9.4142,15.8414
1741,2,199,CN,M,2,11,60.8730,6.5183,14.3276
1742,2,199,CN,M,2,10,51.2524,9.7114,17.0297
1743,2,199,CN,M,2,7,54.4832,7.5568,15.7281
1744,2,200,CN,M,2,6,55.0857,15.3293,17.6515
1745,2,200,CN,M,2,9,58.7399,11.7445,17.2210
1746,2,200,CN,M,2,2,60.0049,11.8601,15.8546
1747,2,200,CN,M,2,5,63.8060,11.1430,17.0416
1748,2,200,CN,M,2,4,51.8178,15.1110,14.9727
1749,2,200,CN,M,2,1,60.1646,10.1606,13.9809
1750,2,200,CN,M,2,11,59.7160,10.0157,14.1593
1751,2,200,CN,M,2,10,56.9576,9.8412,18.7367
1752,2,200,CN,M,2,7,61.4383,7.7593,14.7489
1753,2,201,CN,M,2,6,55.9911,12.4474,17.5502
1754,2,201,CN,M,2,9,60.9225,9.3692,17.9895
1755,2,201,CN,M,2,2,59.4156,10.9193,13.1388
1756,2,201,CN,M,2,5,60.1463,12.6763,14.7780
1757,2,201,CN,M,2,4,53.1294,10.6068,14.5532
1758,2,201,CN,M,2,1,59.9067,6.9678,16.2334
1759,2,201,CN,M,2,11,62.6092,7.9679,14.3915
1760,2,201,CN,M,2,10,56.0382,9.7300,19.8706
1761,2,201,CN,M,2,7,60.2270,7.7419,17.6500
1762,2,202,CN,M,2,6,53.2288,17.5787,14.8018
1763,2,202,CN,M,2,9,57.6611,9.2607,15.8494
1764,2,202,CN,M,2,2,57.4960,12.6604,14.5729
1765,2,202,CN,M,2,5,61.0366,11.8895,13.1529
1766,2,202,CN,M,2,4,52.5400,13.1271,12.6842
1767,2,202,CN,M,2,1,61.6893,8.7578,13.4066
1768,2,202,CN,M,2,11,65.8231,4.6102,13.4515
1769,2,202,CN,M,2,10,58.4332,11.1383,17.7612
1770,2,202,CN,M,2,7,60.6261,8.3107,15.9035
1771,2,203,CN,M,2,6,59.2508,10.7543,14.6420
1772,2,203,CN,M,2,9,60.5532,9.9921,16.4316
1773,2,203,CN,M,2,2,59.0853,11.0282,14.5755
1774,2,203,CN,M,2,5,66.1257,11.4401,14.3773
1775,2,203,CN,M,2,4,55.0246,13.1448,16.0325
1776,2,203,CN,M,2,1,58.1667,11.1703,13.9851
1777,2,203,CN,M,2,11,66.7505,5.5505,13.1766
1778,2,203,CN,M,2,10,56.2005,9.5729,17.8622
1779,2,203,CN,M,2,7,60.8635,8.1103,14.9875
1780,2,204,CN,M,2,6,58.7355,9.4904,16.3501
1781,2,204,CN,M,2,9,59.4469,9.2010,16.9796
1782,2,204,CN,M,2,2,60.9148,9.8524,13.0147
1783,2,204,CN,M,2,5,63.2061,11.8513,15.5425
1784,2,204,CN,M,2,4,56.8748,10.5987,14.9415
1785,2,204,CN,M,2,1,58.3127,9.3650,15.1356
1786,2,204,CN,M,2,11,60.6998,7.8153,12.9134
1787,2,204,CN,M,2,10,54.7019,10.3978,19.4650
1788,2,204,CN,M,2,7,60.3079,6.3723,17.0134
1789,2,205,CN,M,2,6,55.7095,12.0847,18.1133
1790,2,205,CN,M,2,9,55.7881,15.0358,17.9871
1791,2,205,CN,M,2,2,54.8198,14.8463,13.4528
1792,2,205,CN,M,2,5,62.4754,10.6121,15.0048
1793,2,205,CN,M,2,4,52.7904,8.0703,12.9667
1794,2,205,CN,M,2,1,54.4383,13.7767,16.8544
1795,2,205,CN,M,2,11,61.9684,9.7669,13.9348
1796,2,205,CN,M,2,10,54.7813,8.5985,18.0461
1797,2,205,CN,M,2,7,58.6559,7.2064,16.8624
1798,2,206,CN,M,2,6,53.0180,10.8844,19.5209
1799,2,206,CN,M,2,9,55.8887,14.3526,16.2509
1800,2,206,CN,M,2,2,56.4289,11.1213,17.1979
1801,2,206,CN,M,2,5,61.1203,10.6545,16.4655
1802,2,206,CN,M,2,4,53.1510,10.7713,15.8252
1803,2,206,CN,M,2,1,53.3342,12.3708,14.6171
1804,2,206,CN,M,2,11,64.2297,6.1533,15.5078
1805,2,206,CN,M,2,10,54.6215,9.3928,17.1081
1806,2,206,CN,M,2,7,58.9571,7.6410,16.3213
1807,2,207,CN,M,2,6,54.5516,11.5873,18.6716
1808,2,207,CN,M,2,9,58.2033,9.3635,19.2394
1809,2,207,CN,M,2,2,55.9778,12.7932,14.3140
1810,2,207,CN,M,2,5,61.0718,10.4756,16.6634
1811,2,207,CN,M,2,4,52.6642,11.4973,15.9795
1812,2,207,CN,M,2,1,58.1885,9.3082,17.1539
1813,2,207,CN,M,2,11,64.1981,6.4178,13.9126
1814,2,207,CN,M,2,10,54.8628,10.5508,14.5129
1815,2,207,CN,M,2,7,58.3014,7.9482,16.4489
1816,2,208,CN,M,2,6,57.7912,11.1122,16.4431
1817,2,208,CN,M,2,9,56.5726,14.6609,15.7699
1818,2,208,CN,M,2,2,55.2265,14.0085,13.4276
1819,2,208,CN,M,2,5,60.6589,14.3415,13.5257
1820,2,208,CN,M,2,4,57.3968,10.2684,14.7398
1821,2,208,CN,M,2,1,61.8112,7.4004,16.9314
1822,2,208,CN,M,2,11,66.8503,5.7591,12.4191
1823,2,208,CN,M,2,10,57.3235,9.3058,17.5578
1824,2,208,CN,M,2,7,58.6127,8.0586,15.0557
1825,2,209,CN,M,2,6,57.9848,9.1833,18.1461
1826,2,209,CN,M,2,9,59.3856,9.9601,17.5881
1827,2,209,CN,M,2,2,59.9521,9.7095,13.8308
1828,2,209,CN,M,2,5,61.1940,12.0082,12.5716
1829,2,209,CN,M,2,4,55.8503,11.7457,16.5344
1830,2,209,CN,M,2,1,55.0594,11.2211,13.6465
1831,2,209,CN,M,2,11,63.6253,8.8291,13.8855
1832,2,209,CN,M,2,10,59.9919,6.5633,16.3109
1833,2,209,CN,M,2,7,59.7928,8.5104,15.2174
1834,2,210,CN,M,2,6,50.1985,12.5992,17.4954
1835,2,210,CN,M,2,9,51.5086,8.0321,17.4643
1836,2,210,CN,M,2,2,52.0633,11.8766,13.9279
1837,2,210,CN,M,2,5,54.9411,11.4926,16.5573
1838,2,210,CN,M,2,4,49.3981,10.7067,16.6501
1839,2,210,CN,M,2,1,53.0359,9.3598,17.9817
1840,2,210,CN,M,2,11,57.3307,10.7110,14.8565
1841,2,210,CN,M,2,10,46.5901,12.4775,18.3505
1842,2,210,CN,M,2,7,52.9865,9.4786,18.0170
1843,2,211,CN,M,2,6,59.1787,11.5812,16.0844
1844,2,211,CN,M,2,9,58.1028,12.5000,16.8207
1845,2,211,CN,M,2,2,58.3947,14.1323,12.4052
1846,2,211,CN,M,2,5,62.0962,11.7271,14.2807
1847,2,211,CN,M,2,4,58.0097,12.0409,15.8826
1848,2,211,CN,M,2,1,59.3148,11.5363,14.1185
1849,2,211,CN,M,2,11,63.4071,7.3428,15.0166
1850,2,211,CN,M,2,10,58.7142,13.8753,16.2077
1851,2,211,CN,M,2,7,61.0913,8.5352,14.7750
1852,2,212,CN,M,2,6,57.7672,8.7241,18.0161
1853,2,212,CN,M,2,9,59.1442,10.8001,16.5947
1854,2,212,CN,M,2,2,58.6959,11.7580,13.7956
1855,2,212,CN,M,2,5,61.1214,14.5363,12.6788
1856,2,212,CN,M,2,4,56.4360,10.7852,14.6560
1857,2,212,CN,M,2,1,56.2377,12.5622,17.8847
1858,2,212,CN,M,2,11,61.6467,8.8223,14.4594
1859,2,212,CN,M,2,10,59.2409,8.5541,16.3647
1860,2,212,CN,M,2,7,59.9498,10.2718,13.7829
1861,2,213,CN,M,2,6,55.3725,12.1858,14.3518
1862,2,213,CN,M,2,9,57.1089,10.0075,16.2985
1863,2,213,CN,M,2,2,57.7948,12.4201,12.7953
1864,2,213,CN,M,2,5,58.5728,13.6352,12.4476
1865,2,213,CN,M,2,4,55.0752,8.5257,14.1051
1866,2,213,CN,M,2,1,58.5206,6.9421,15.4436
1867,2,213,CN,M,2,11,62.5165,8.2193,15.8932
1868,2,213,CN,M,2,10,56.0183,9.0926,18.4022
1869,2,213,CN,M,2,7,60.4413,7.4567,16.3387
1870,2,214,CN,M,2,6,53.8575,11.7575,17.9232
1871,2,214,CN,M,2,9,55.6355,14.5075,17.3116
1872,2,214,CN,M,2,2,57.7456,11.2370,14.3632
1873,2,214,CN,M,2,5,60.6021,10.1008,17.4465
1874,2,214,CN,M,2,4,53.3177,11.9706,14.7663
1875,2,214,CN,M,2,1,59.3012,8.5089,15.8126
1876,2,214,CN,M,2,11,64.2851,6.9378,12.4367
1877,2,214,CN,M,2,10,57.9574,7.7926,16.7819
1878,2,214,CN,M,2,7,59.3028,7.0656,16.8783
1879,2,215,CN,M,2,6,51.7093,13.2427,18.6705
1880,2,215,CN,M,2,9,53.8288,11.9490,17.8150
1881,2,215,CN,M,2,2,56.7594,11.2647,16.8000
1882,2,215,CN,M,2,5,59.4348,12.2343,14.5588
1883,2,215,CN,M,2,4,52.1291,12.7943,18.7857
1884,2,215,CN,M,2,1,55.2073,12.5415,17.2331
1885,2,215,CN,M,2,11,64.5706,6.8537,13.6361
1886,2,215,CN,M,2,10,53.7815,9.5444,19.8114
1887,2,215,CN,M,2,7,57.5879,8.2225,18.5607
1888,2,216,CN,M,2,6,56.0867,13.1439,16.8287
1889,2,216,CN,M,2,9,60.0848,8.6229,19.2626
1890,2,216,CN,M,2,2,56.5983,13.9863,15.0178
1891,2,216,CN,M,2,5,60.6458,11.2187,15.0913
1892,2,216,CN,M,2,4,51.4933,10.8989,14.6554
1893,2,216,CN,M,2,1,56.3418,8.2431,16.3430
1894,2,216,CN,M,2,11,64.5861,7.7696,14.4809
1895,2,216,CN,M,2,10,53.3774,12.0614,17.2367
1896,2,216,CN,M,2,7,56.8546,9.2583,18.6863
1897,2,217,CN,M,2,6,57.2064,11.5535,15.4728
1898,2,217,CN,M,2,9,59.3683,10.2463,18.5648
1899,2,217,CN,M,2,2,58.4796,12.2726,14.2880
1900,2,217,CN,M,2,5,61.2011,12.4232,17.5438
1901,2,217,CN,M,2,4,54.9623,13.6558,16.9199
1902,2,217,CN,M,2,1,59.4228,10.6305,16.1412
1903,2,217,CN,M,2,11,65.1611,7.2309,14.1071
1904,2,217,CN,M,2,10,57.3388,8.2528,16.0057
1905,2,217,CN,M,2,7,59.9931,8.2445,16.9455
1906,2,218,CN,M,2,6,54.1145,10.5783,18.4931
1907,2,218,CN,M,2,9,55.5391,13.0790,19.3541
1908,2,218,CN,M,2,2,55.1027,13.9312,15.9824
1909,2,218,CN,M,2,5,59.6950,12.2659,15.4320
1910,2,218,CN,M,2,4,49.3430,10.0660,12.8281
1911,2,218,CN,M,2,1,52.9234,10.9682,19.0623
1912,2,218,CN,M,2,11,59.1352,11.5505,15.7699
1913,2,218,CN,M,2,10,54.0713,10.5333,19.5941
1914,2,218,CN,M,2,7,57.2669,8.4386,18.8741
1915,2,219,CN,M,2,6,59.5881,8.9921,17.4836
1916,2,219,CN,M,2,9,59.7769,11.0081,14.7367
1917,2,219,CN,M,2,2,58.6996,12.8672,14.0551
1918,2,219,CN,M,2,5,56.6648,15.2419,12.1877
1919,2,219,CN,M,2,4,53.1181,5.9690,11.3167
1920,2,219,CN,M,2,1,62.8217,7.9787,13.4369
1921,2,219,CN,M,2,11,63.2266,8.5737,12.5397
1922,2,219,CN,M,2,10,60.1656,8.9083,16.8900
1923,2,219,CN,M,2,7,62.0779,7.4948,14.3668
1924,2,220,CN,M,2,6,55.8875,13.1708,15.1554
1925,2,220,CN,M,2,9,56.7435,11.8297,16.6197
1926,2,220,CN,M,2,2,57.8168,12.5593,14.4120
1927,2,220,CN,M,2,5,59.8467,14.9512,13.9805
1928,2,220,CN,M,2,4,55.0565,10.7256,15.6937
1929,2,220,CN,M,2,1,60.0645,7.6585,15.7908
1930,2,220,CN,M,2,11,63.2213,6.1076,13.9326
1931,2,220,CN,M,2,10,58.7157,10.0939,16.5340
1932,2,220,CN,M,2,7,59.7030,8.4789,13.5520
1933,2,221,CN,M,2,6,55.8875,13.1708,15.1554
1934,2,221,CN,M,2,9,56.7435,11.8297,16.6197
1935,2,221,CN,M,2,2,57.8168,12.5593,14.4120
1936,2,221,CN,M,2,5,59.8467,14.9512,13.9805
1937,2,221,CN,M,2,4,55.0565,10.7256,15.6937
1938,2,221,CN,M,2,1,60.0645,7.6585,15.7908
1939,2,221,CN,M,2,11,63.2213,6.1076,13.9326
1940,2,221,CN,M,2,10,58.7157,10.0939,16.5340
1941,2,221,CN,M,2,7,59.7030,8.4789,13.5520
1942,2,222,CN,M,2,6,56.9213,12.1124,16.7917
1943,2,222,CN,M,2,9,57.5015,12.8057,18.0055
1944,2,222,CN,M,2,2,58.9040,11.8145,15.5791
1945,2,222,CN,M,2,5,56.5648,16.3794,14.0056
1946,2,222,CN,M,2,4,52.8590,10.0430,14.1082
1947,2,222,CN,M,2,1,57.3798,14.1999,14.8199
1948,2,222,CN,M,2,11,62.4425,8.8966,14.0292
1949,2,222,CN,M,2,10,60.5934,8.7272,15.1458
1950,2,222,CN,M,2,7,62.2217,8.9660,13.6813
1951,2,223,CN,F,2,6,58.3731,8.2115,17.9332
1952,2,223,CN,F,2,9,61.4779,8.5770,19.5528
1953,2,223,CN,F,2,2,59.5072,10.9460,14.4299
1954,2,223,CN,F,2,5,62.6379,10.1894,15.5717
1955,2,223,CN,F,2,4,60.6134,10.7671,16.9364
1956,2,223,CN,F,2,1,62.6637,6.0901,16.3361
1957,2,223,CN,F,2,11,64.8309,7.0092,12.2906
1958,2,223,CN,F,2,10,61.9415,5.3781,14.2342
1959,2,223,CN,F,2,7,65.7081,3.8934,11.3789
1960,2,224,CN,F,2,6,55.5426,11.7702,16.0874
1961,2,224,CN,F,2,9,56.1290,11.6335,17.4898
1962,2,224,CN,F,2,2,57.3576,13.4934,13.8948
1963,2,224,CN,F,2,5,56.9836,11.2215,15.8277
1964,2,224,CN,F,2,4,52.7917,14.7542,17.2312
1965,2,224,CN,F,2,1,57.4952,7.6948,17.6162
1966,2,224,CN,F,2,11,62.4170,7.5204,14.1558
1967,2,224,CN,F,2,10,54.0317,9.9745,18.8379
1968,2,224,CN,F,2,7,58.3170,8.4208,17.8391
1969,2,225,CN,F,2,6,55.1059,12.9840,17.3186
1970,2,225,CN,F,2,9,58.9361,9.9201,19.8034
1971,2,225,CN,F,2,2,57.3325,13.3994,13.1602
1972,2,225,CN,F,2,5,65.6749,8.9609,14.7824
1973,2,225,CN,F,2,4,59.5575,11.7310,18.4717
1974,2,225,CN,F,2,1,61.0676,6.8938,17.2550
1975,2,225,CN,F,2,11,66.4856,7.5339,13.7015
1976,2,225,CN,F,2,10,58.9936,8.0959,15.3014
1977,2,225,CN,F,2,7,63.5567,6.0124,13.4004
1978,2,226,CN,F,2,6,60.5606,8.6620,16.0990
1979,2,226,CN,F,2,9,58.9048,8.8480,17.8343
1980,2,226,CN,F,2,2,59.0808,12.3891,14.8656
1981,2,226,CN,F,2,5,55.8591,10.3571,14.4880
1982,2,226,CN,F,2,4,61.9104,10.5074,18.4050
1983,2,226,CN,F,2,1,65.9613,5.4622,16.9007
1984,2,226,CN,F,2,11,65.2913,5.3603,15.6868
1985,2,226,CN,F,2,10,60.2643,5.9748,15.7554
1986,2,226,CN,F,2,7,61.7211,5.4353,14.8807
1987,2,227,CN,M,2,6,56.6364,11.2133,18.7564
1988,2,227,CN,M,2,9,58.6033,12.9700,17.2079
1989,2,227,CN,M,2,2,55.9316,12.0503,16.4740
1990,2,227,CN,M,2,5,58.8219,14.5022,14.3483
1991,2,227,CN,M,2,4,56.4995,13.2656,17.4361
1992,2,227,CN,M,2,1,61.1667,8.3735,15.3595
1993,2,227,CN,M,2,11,63.8393,7.4295,15.7368
1994,2,227,CN,M,2,10,58.0840,11.1648,19.0199
1995,2,227,CN,M,2,7,61.1056,8.2852,17.0242
1996,2,228,CN,M,2,6,47.7372,14.5139,19.2679
1997,2,228,CN,M,2,9,52.4323,11.7859,19.0542
1998,2,228,CN,M,2,2,54.9797,13.9939,17.5010
1999,2,228,CN,M,2,5,56.2804,15.2811,17.0510
2000,2,228,CN,M,2,4,49.6215,11.9050,16.5786
2001,2,228,CN,M,2,1,53.0543,13.2138,17.3419
2002,2,228,CN,M,2,11,60.5180,12.3371,15.5771
2003,2,228,CN,M,2,10,52.1747,11.8603,18.7232
2004,2,228,CN,M,2,7,55.6886,10.4514,17.2683
2005,2,229,CN,M,2,6,54.9295,14.4373,16.9819
2006,2,229,CN,M,2,9,54.6047,16.2576,19.4148
2007,2,229,CN,M,2,2,54.7301,17.0075,15.7258
2008,2,229,CN,M,2,5,58.7129,10.1352,15.7000
2009,2,229,CN,M,2,4,48.8446,10.3147,14.1189
2010,2,229,CN,M,2,1,53.1792,12.4922,16.1775
2011,2,229,CN,M,2,11,61.6545,10.5108,15.8654
2012,2,229,CN,M,2,10,51.1278,11.7873,18.9590
2013,2,229,CN,M,2,7,56.5745,10.6001,17.1283
2014,2,230,CN,F,2,6,60.5010,14.7731,14.6111
2015,2,230,CN,F,2,9,64.5076,9.2371,20.3754
2016,2,230,CN,F,2,2,64.7285,10.2029,12.9313
2017,2,230,CN,F,2,5,63.6910,13.1517,14.5203
2018,2,230,CN,F,2,4,62.3319,11.6438,16.1337
2019,2,230,CN,F,2,1,65.8154,8.0936,14.6389
2020,2,230,CN,F,2,11,68.9188,5.3993,14.0399
2021,2,230,CN,F,2,10,68.5970,4.9644,14.0762
2022,2,230,CN,F,2,7,69.6716,5.9860,13.3827
2023,2,231,CN,M,2,6,60.5010,14.7731,14.6111
2024,2,231,CN,M,2,9,64.5076,9.2371,20.3754
2025,2,231,CN,M,2,2,64.7285,10.2029,12.9313
2026,2,231,CN,M,2,5,63.6910,13.1517,14.5203
2027,2,231,CN,M,2,4,62.3319,11.6438,16.1337
2028,2,231,CN,M,2,1,65.8154,8.0936,14.6389
2029,2,231,CN,M,2,11,68.9188,5.3993,14.0399
2030,2,231,CN,M,2,10,68.5970,4.9644,14.0762
2031,2,231,CN,M,2,7,69.6716,5.9860,13.3827
2032,2,232,CN,M,2,6,52.6674,9.9108,18.0007
2033,2,232,CN,M,2,9,56.6297,8.7856,19.5412
2034,2,232,CN,M,2,2,55.9969,11.7453,15.5828
2035,2,232,CN,M,2,5,59.7167,9.7934,16.3024
2036,2,232,CN,M,2,4,54.9148,10.5799,17.4235
2037,2,232,CN,M,2,1,56.2301,9.2404,17.0433
2038,2,232,CN,M,2,11,64.8351,5.1223,14.5187
2039,2,232,CN,M,2,10,54.0434,7.8925,18.6638
2040,2,232,CN,M,2,7,53.7555,8.9981,18.6760
2041,2,233,CN,M,2,6,49.2406,13.9053,15.9068
2042,2,233,CN,M,2,9,52.5727,11.8223,19.2829
2043,2,233,CN,M,2,2,52.1507,15.5032,14.8692
2044,2,233,CN,M,2,5,54.1680,15.8410,17.1782
2045,2,233,CN,M,2,4,49.8391,16.1585,15.9956
2046,2,233,CN,M,2,1,52.3971,12.7290,16.8484
2047,2,233,CN,M,2,11,62.9874,11.0807,15.6303
2048,2,233,CN,M,2,10,58.1927,9.8945,19.2325
2049,2,233,CN,M,2,7,55.0392,10.4993,17.1868
2050,2,234,CN,M,2,6,57.3262,10.0519,16.4981
2051,2,234,CN,M,2,9,53.1508,13.5852,19.2235
2052,2,234,CN,M,2,2,55.3141,13.0392,15.8129
2053,2,234,CN,M,2,5,59.8757,11.7123,17.3016
2054,2,234,CN,M,2,4,53.2958,11.4568,16.4939
2055,2,234,CN,M,2,1,58.1978,6.6483,15.0095
2056,2,234,CN,M,2,11,61.2659,8.7913,14.1902
2057,2,234,CN,M,2,10,50.2197,11.0577,15.6800
2058,2,234,CN,M,2,7,54.5963,8.3719,17.7680
2059,2,235,CN,M,2,6,54.1167,11.1582,15.6390
2060,2,235,CN,M,2,9,52.2678,11.0922,17.3457
2061,2,235,CN,M,2,2,54.0023,12.8412,15.1059
2062,2,235,CN,M,2,5,58.6623,9.0438,16.0072
2063,2,235,CN,M,2,4,52.5824,13.1413,13.7567
2064,2,235,CN,M,2,1,51.7695,11.3274,15.8098
2065,2,235,CN,M,2,11,58.7130,11.6879,11.0770
2066,2,235,CN,M,2,10,52.1273,10.5196,15.2644
2067,2,235,CN,M,2,7,56.8843,7.2562,15.1119
2068,2,236,CN,M,2,6,58.5758,10.1501,15.4359
2069,2,236,CN,M,2,9,54.8549,14.4619,16.4422
2070,2,236,CN,M,2,2,55.7409,13.1594,13.8762
2071,2,236,CN,M,2,5,63.7746,9.7978,13.5718
2072,2,236,CN,M,2,4,57.0767,13.0362,15.1775
2073,2,236,CN,M,2,1,57.9275,10.5940,15.0014
2074,2,236,CN,M,2,11,62.9782,8.7271,13.1588
2075,2,236,CN,M,2,10,59.3531,9.5362,15.4531
2076,2,236,CN,M,2,7,55.4781,10.7189,17.5660
2077,2,237,CN,M,2,6,55.9326,11.5821,17.3795
2078,2,237,CN,M,2,9,56.9311,13.9237,16.1418
2079,2,237,CN,M,2,2,55.3265,12.1300,15.3385
2080,2,237,CN,M,2,5,50.8118,18.8832,15.5765
2081,2,237,CN,M,2,4,55.6986,12.8812,16.2192
2082,2,237,CN,M,2,1,57.1577,9.8727,14.3816
2083,2,237,CN,M,2,11,58.9702,8.0369,14.8182
2084,2,237,CN,M,2,10,56.6595,8.8480,15.9242
2085,2,237,CN,M,2,7,59.0834,6.7387,15.6026
2086,2,238,CN,M,2,6,53.8828,14.4743,14.1977
2087,2,238,CN,M,2,9,55.2815,14.7234,15.4926
2088,2,238,CN,M,2,2,60.5694,12.1563,14.0052
2089,2,238,CN,M,2,5,58.4985,15.0281,15.4609
2090,2,238,CN,M,2,4,52.8555,12.8113,15.2109
2091,2,238,CN,M,2,1,58.4654,8.7145,15.1328
2092,2,238,CN,M,2,11,67.0254,6.4618,11.6477
2093,2,238,CN,M,2,10,58.8772,9.6664,17.6182
2094,2,238,CN,M,2,7,63.1647,6.3219,15.0966
2095,2,239,CN,M,2,6,52.3976,11.8350,18.4155
2096,2,239,CN,M,2,9,54.8054,11.1596,18.7871
2097,2,239,CN,M,2,2,55.1192,11.7758,16.8137
2098,2,239,CN,M,2,5,57.8981,11.8291,15.3497
2099,2,239,CN,M,2,4,53.7804,10.5173,17.8199
2100,2,239,CN,M,2,1,56.7353,8.9217,17.0768
2101,2,239,CN,M,2,11,62.8322,8.0102,14.4326
2102,2,239,CN,M,2,10,52.3296,9.2328,18.4363
2103,2,239,CN,M,2,7,56.6727,8.3382,16.4885
2104,2,240,CN,M,2,6,53.6700,12.2799,17.1451
2105,2,240,CN,M,2,9,56.4607,14.8745,15.3721
2106,2,240,CN,M,2,2,56.4668,11.4574,15.3221
2107,2,240,CN,M,2,5,57.8608,14.5490,14.5937
2108,2,240,CN,M,2,4,53.5964,9.5556,13.0784
2109,2,240,CN,M,2,1,58.4268,8.5332,16.8941
2110,2,240,CN,M,2,11,64.7900,7.9151,15.2064
2111,2,240,CN,M,2,10,60.8367,7.7440,18.8450
2112,2,240,CN,M,2,7,64.4575,5.5243,15.0607
2113,2,241,CN,M,2,6,54.6087,14.9294,18.1845
2114,2,241,CN,M,2,9,59.2731,12.6882,15.7727
2115,2,241,CN,M,2,2,57.9739,11.5771,17.2858
2116,2,241,CN,M,2,5,61.4878,14.1074,16.6862
2117,2,241,CN,M,2,4,50.6037,10.2265,13.9035
2118,2,241,CN,M,2,1,62.0318,8.7153,14.7171
2119,2,241,CN,M,2,11,60.8234,11.0039,13.0063
2120,2,241,CN,M,2,10,58.4825,9.8523,17.3589
2121,2,241,CN,M,2,7,59.0252,9.4760,14.6738
2122,2,242,CN,M,2,6,57.0335,13.4237,18.4554
2123,2,242,CN,M,2,9,56.1824,14.7262,17.5577
2124,2,242,CN,M,2,2,58.6371,12.5624,16.5039
2125,2,242,CN,M,2,5,61.7872,11.8660,17.4431
2126,2,242,CN,M,2,4,58.9680,11.2168,16.2587
2127,2,242,CN,M,2,1,56.3146,10.8812,17.6187
2128,2,242,CN,M,2,11,66.2677,6.1261,15.6525
2129,2,242,CN,M,2,10,53.9103,11.1771,20.7059
2130,2,242,CN,M,2,7,59.0011,7.2177,16.8551
2131,2,243,CN,F,2,6,55.7239,12.3921,18.2743
2132,2,243,CN,F,2,9,60.7041,12.0812,18.1510
2133,2,243,CN,F,2,2,62.2637,10.7103,15.0665
2134,2,243,CN,F,2,5,63.6887,9.0829,16.0474
2135,2,243,CN,F,2,4,57.3603,13.9444,18.0475
2136,2,243,CN,F,2,1,58.5231,9.8028,18.1946
2137,2,243,CN,F,2,11,64.4398,9.0257,14.5755
2138,2,243,CN,F,2,10,59.9828,6.9121,18.9835
2139,2,243,CN,F,2,7,62.6252,6.5535,17.5879
2140,2,244,CN,M,2,6,54.0191,9.7258,18.7416
2141,2,244,CN,M,2,9,54.2545,10.8507,16.3088
2142,2,244,CN,M,2,2,59.6424,13.8045,15.1243
2143,2,244,CN,M,2,5,64.0485,10.5961,15.6706
2144,2,244,CN,M,2,4,55.5975,12.6494,18.1787
2145,2,244,CN,M,2,1,59.0001,10.1806,16.5092
2146,2,244,CN,M,2,11,61.8583,7.2441,13.8548
2147,2,244,CN,M,2,10,56.0260,8.8670,17.4930
2148,2,244,CN,M,2,7,60.9598,8.2430,15.2009
2149,2,245,CN,F,2,6,66.3309,7.2397,16.4456
2150,2,245,CN,F,2,9,64.5176,8.7913,19.3916
2151,2,245,CN,F,2,2,62.9262,14.1225,12.8471
2152,2,245,CN,F,2,5,61.3705,15.1193,16.8561
2153,2,245,CN,F,2,4,61.3687,15.5887,17.5754
2154,2,245,CN,F,2,1,66.1016,6.3634,15.6377
2155,2,245,CN,F,2,11,68.1519,7.6763,16.9339
2156,2,245,CN,F,2,10,64.9987,6.0828,16.5671
2157,2,245,CN,F,2,7,67.2647,5.2586,15.1325
2158,2,246,CN,F,2,6,59.2841,11.4402,18.4275
2159,2,246,CN,F,2,9,58.3849,13.3598,17.9368
2160,2,246,CN,F,2,2,60.2442,13.0011,14.7512
2161,2,246,CN,F,2,5,68.7794,8.8679,17.5971
2162,2,246,CN,F,2,4,57.5699,13.9317,18.5374
2163,2,246,CN,F,2,1,58.8532,8.7805,17.1113
2164,2,246,CN,F,2,11,67.0187,6.6835,12.2925
2165,2,246,CN,F,2,10,59.3346,6.7256,17.0846
2166,2,246,CN,F,2,7,60.6441,7.4054,16.2156
2167,2,247,CN,F,2,6,61.8575,7.8539,17.6753
2168,2,247,CN,F,2,9,58.0140,9.0383,19.1049
2169,2,247,CN,F,2,2,62.4801,12.1887,14.2225
2170,2,247,CN,F,2,5,53.7502,9.5762,14.3769
2171,2,247,CN,F,2,4,63.8187,10.6770,17.4026
2172,2,247,CN,F,2,1,59.1081,11.2340,18.9428
2173,2,247,CN,F,2,11,66.5622,6.8680,16.6743
2174,2,247,CN,F,2,10,60.1508,7.8192,18.3756
2175,2,247,CN,F,2,7,65.0201,6.8792,15.6042
2176,2,248,CN,F,2,6,61.9042,9.4153,17.3275
